id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
neo,52,NEO,Neo,70538831.0000000000000000,100000000.0000000000000000,816905620.8091530610961806,10259781.0040734999371165,11.5809350570206226,-1.5655801585794787,11.7679274221564896,https://neotracker.io
elrond-egld,53,EGLD,MultiversX,24184559.1898415400000000,31415926.0000000000000000,799423648.9419968871405209,13861983.9647337679509139,33.0551259035470062,-3.3761451097118923,33.2348001095704906,https://explorer.elrond.com/
akash-network,54,AKT,Akash Network,246050462.1444580000000000,388539008.0000000000000000,771126968.5539748439263756,2351457.2114807218381704,3.1340195902629138,-4.1493660453334417,3.2348093104242078,https://akash.bigdipper.live/
gala,55,GALA,Gala,32993329115.5039250000000000,NA,763156600.4685553734183456,9676667.0744784192651624,0.0231306334015848,-10.1516937668047685,0.0257755384741513,https://ethplorer.io/es/address/0x15d4c048f83bd7e37d49ea4c83a07267ec4203da#chart=candlestick
tezos,56,XTZ,Tezos,991568130.8471990000000000,NA,762158656.5547223587509448,16961910.6368402708791645,0.7686397261512747,-1.3670135775631893,0.7774466730384714,https://tzkt.io/
conflux-network,57,CFX,Conflux,4238300917.4900000000000000,NA,755894267.3475546759704939,23141280.5585273502211125,0.1783484188742335,-3.1519956395023935,0.1799303966347735,http://www.confluxscan.io/
the-sandbox,58,SAND,The Sandbox,2284231926.2233224000000000,NA,753887534.0513235489776523,14663519.1439288930005117,0.3300398376349540,-0.4124591931369011,0.3349265688093754,https://etherscan.io/token/0x3845badAde8e6dFF049820680d1F14bD3903a5d0
ecash,59,XEC,eCash,19735029673091.0000000000000000,21000000000000.0000000000000000,748251930.6763080503581888,21041237.2028456423266981,0.0000379149128768,-2.2868517946317886,0.0000392200388431,https://explorer.bitcoinabc.org/
gatetoken,60,GT,GateToken,93224861.9034966100000000,NA,712653680.7286240039450097,1369882.4691755389323895,7.6444594947894936,-0.9564047624605042,7.7074512530400840,
nexo,61,NEXO,Nexo,560000011.0000000000000000,NA,661750797.4003771301762698,915807.4025117491895155,1.1816978292887518,7.0781368358241902,1.1906855907475768,https://etherscan.io/token/0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206
decentraland,62,MANA,Decentraland,1908319865.3915880000000000,NA,651061123.0030933214256890,15277120.7351067646059282,0.3411698084846459,-1.8471116301893468,0.3477428055335282,https://etherscan.io/token/decentraland
chiliz,63,CHZ,Chiliz,8966473471.0000000000000000,NA,621885119.4698827145447198,17301148.6568822760103028,0.0693567121434338,-1.6440718458873478,0.0703386871758693,https://etherscan.io/token/0x3506424f91fd33084466f402d5d97f05f8e3b4af
raydium,64,RAY,Raydium,263567786.6558050000000000,NA,617561740.8977025595117034,12109095.7914297407315517,2.3430850512250980,-4.3897048548872597,2.4055499524664358,https://explorer.solana.com/address/4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R
pendle,65,PENDLE,Pendle,156923304.7158337800000000,NA,605808786.4167569604404276,1831345.2408497455791500,3.8605405839100329,-2.0671332204032413,3.9754556787916350,https://etherscan.io/token/0x808507121b80c02388fad14726482e061b8da827
mantra-dao,66,OM,MANTRA DAO,500205033.1781248500000000,888888888.0000000000000000,590129699.7623952059201191,13728480.4483306498198048,1.1797756132378777,-1.3034052369697799,1.1648827810808130,https://etherscan.io/token/0x3593d125a4f7849a1b059e64f4517a86dd60c95d
mina,67,MINA,Mina,1137465636.8400393000000000,NA,582533116.0981100604130315,4695692.7316265844804910,0.5121324963419806,-2.0822064521997334,0.5192857239368700,https://minaexplorer.com/
oasis-network,68,ROSE,Oasis,6713599876.0000000000000000,NA,577964846.2534668733948744,3913429.6998693812390460,0.0860886643422994,-2.3784278430359354,0.0877320037167629,https://www.oasisscan.com/
gnosis-gno,69,GNO,Gnosis,2589588.0000000000000000,3000000.0000000000000000,551445155.9174638573186068,6894262.9949171670239788,212.9470618173484961,-1.5574810746976021,215.4907631869595959,https://etherscan.io/token/Gnosis
aioz-network,70,AIOZ,AIOZ Network,1110533220.0738451000000000,NA,550938050.7056732847397001,766965.0641941410438470,0.4961022693846462,-8.1157878979034711,0.5182691192625347,https://etherscan.io/token/0x626e8036deb333b408be468f951bdb42433cbf18
iota,71,IOTA,IOTA,3363469350.0000000000000000,NA,550380688.1347721894034000,3593473.7358767428852218,0.1636348159779640,-1.6358982604117270,0.1661030156062624,https://thetangle.org/
nervos-network,72,CKB,Nervos Network,44636904594.6458200000000000,NA,543000287.3219786224706471,18589753.5876368283362860,0.0121648284587169,-2.7741520431358371,0.0125108129850047,https://explorer.nervos.org/
klaytn,73,KLAY,Klaytn,3706971641.4431330000000000,NA,531402451.5462766924795159,3324691.4072766723609678,0.1433521761011909,-0.7593106371331597,0.1447112305233935,https://scope.klaytn.com/blocks
dexe,74,DEXE,DeXe,57103225.3406123900000000,98942301.0000000000000000,530586083.2221896155686518,541138.1034101504777362,9.2917007762227301,-3.5633092539835945,9.5049793805561847,https://etherscan.io/token/0xde4EE8057785A7e8e800Db58F9784845A5C2Cbd6
zcash,75,ZEC,Zcash,16328268.7500000000000000,21000000.0000000000000000,513489146.1486283268194519,57536031.4397014027008488,31.4478622327078201,0.5141684245438220,31.4350096319080448,https://explorer.zcha.in/
livepeer,76,LPT,Livepeer,33565601.3605579300000000,NA,504969709.4696556212522382,9439932.9731014577609287,15.0442622506692958,-0.8029721388382031,15.3247529652638081,https://explorer.livepeer.org/
trueusd,77,TUSD,TrueUSD,495201532.6100000000000000,NA,495333220.4094819294862876,6834468.2094001985691881,1.0002659276896577,-0.0148023783523124,0.9998717693874679,https://etherscan.io/token/0x8dd5fbce2f6a956c3022ba3663759011dd51e73e
nxm,78,NXM,NXM,6594067.8412913900000000,NA,476896633.7556548850479960,151084.4116141435769440,72.3220696592437374,0.4169670216173825,72.3592713826142095,https://etherscan.io/token/0xd7c49cee7e9188cca6ad8ff264c1da2e69d4cf3b
ftx-token,79,FTT,FTX Token,328895103.8132070000000000,NA,458616581.8018674080884544,7713151.4612281288466309,1.3944159596317206,1.0990724844830371,1.4081165941725909,https://etherscan.io/token/0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9
1inch,80,1INCH,1inch Network,1254993601.5929372000000000,NA,456991270.5734705732370935,8170294.8988402028302748,0.3641383270746728,-3.2200730657217901,0.3715694780007105,https://etherscan.io/token/0x111111111117dc0aa78b770fa6a738034120c302
theta-fuel,81,TFUEL,Theta Fuel,6628262429.0000000000000000,NA,454894248.7773750763540229,861457.3830882111159977,0.0686294867848201,-1.0736560378657180,0.0690550795397125,https://explorer.thetatoken.org/
kava,82,KAVA,Kava,1082855128.0000000000000000,NA,452894631.0811684199524416,6025345.0352533626104566,0.4182412026968472,-3.4171132269233465,0.4254713705066025,https://www.mintscan.io/kava
pancakeswap,83,CAKE,PancakeSwap,231040765.8015597200000000,450000000.0000000000000000,450073816.6880914418407756,6406336.4349398240204239,1.9480277219763832,-2.6399936503743363,1.9818935553053963,https://bscscan.com/token/0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82
compound,84,COMP,Compound,8360443.3572277700000000,NA,422758709.9360065732278823,14096184.9212199924038507,50.5665419729831957,-2.5985179374508031,51.7187053977095911,https://etherscan.io/token/0xc00e94cb662c3520282e6f5717214004a7f26888
trust-wallet-token,85,TWT,Trust Wallet Token,416649900.0000000000000000,NA,422648071.5235788738436500,859044.1155495115430309,1.0143961909593135,-1.5025907497091274,1.0233191139452990,https://explorer.binance.org/asset/TWT-8C2
iotex,86,IOTX,IoTeX,9441378929.0000000000000000,10000000000.0000000000000000,417928560.8134480929168627,4633079.4914106145665574,0.0442656272940963,-3.7839096535034404,0.0457681752785299,https://etherscan.io/token/0x6fb3e0a217407efff7ca062d46c26e5d60a14d69
wemix,87,WEMIX,WEMIX,408433602.9590293000000000,590000000.0000000000000000,409954297.6206640961255113,818604.9469089855283761,1.0037232359203984,-1.6855460324386587,1.0210458918917004,https://scope.klaytn.com/token/0x5096db80b21ef45230c9e423c373f1fc9c0198dd?tabId=kctTransfer
synthetix-network-token,88,SNX,Synthetix,233716733.4900000000000000,212424133.0000000000000000,394036886.0450173510469064,7754912.4560544726759541,1.6859592386091471,-2.4935142971684966,1.7131969381491335,https://etherscan.io/token/0xc011a72400e58ecd99ee497cf89e3775d4bd732f
xinfin-network,89,XDC,XinFin Network,12293293518.5500000000000000,NA,372618817.6621674504146486,644231.0168940122676864,0.0303107395182506,-1.6654658319553084,0.0307745467226565,https://etherscan.io/token/0x41ab1b6fcbb2fa9dced81acbdec13ea6315f2bf2
wootrade,90,WOO,WOO,1917064259.6683025000000000,NA,369878987.2817628767931091,11458430.6780283486685259,0.1929403176843747,-3.1952126005292935,0.1975266431966166,https://etherscan.io/token/0x4691937a7508860f876c9c0a2a617e7d9e945d4b
superfarm,91,SUPER,SuperVerse,487776093.4169172600000000,1000000000.0000000000000000,354532603.3506417766633594,2593118.7961466296956414,0.7268347262923602,-5.4696413195177749,0.7497260450831295,https://etherscan.io/token/0xe53ec727dbdeb9e2d5456c3be40cff031ab40a55
aragon,92,ANT,Aragon,43191429.8753035100000000,NA,351574030.5918361219762447,1569365.6725724383914773,8.1399025595321433,-3.7849285395612565,8.3022114705196820,https://etherscan.io/token/Aragon
kusama,93,KSM,Kusama,15261565.7406226800000000,NA,329511130.2001832850220080,11110598.4246426393321406,21.5909124791241148,-1.6057858111678534,21.8568428187571802,https://kusama.subscan.io/
0x,94,ZRX,0x Protocol,847496054.8027713000000000,1000000000.0000000000000000,319626581.5730003699885598,10808845.0312598531411923,0.3771422648656266,-4.0062036867515493,0.3862100755965651,https://etherscan.io/token/ZRX
zilliqa,95,ZIL,Zilliqa,18704789775.0079500000000000,NA,319398361.7847869418945145,2707783.7847852521828027,0.0170757525546502,-0.8204350486860217,0.0172826975076073,https://etherscan.io/token/0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27
dash,96,DASH,Dash,11898529.4209262800000000,18900000.0000000000000000,317733945.0852432955180707,16827711.2113764187307900,26.7036315031028646,-1.4510708941764814,26.8876138715502840,https://explorer.dash.org
curve-dao-token,97,CRV,Curve DAO Token,1187750868.0000000000000000,NA,314094593.0231086077273504,5625455.1895125011033670,0.2644448440201928,-2.3512343380432546,0.2665084367379179,https://etherscan.io/token/0xD533a949740bb3306d119CC777fa900bA034cd52
siacoin,98,SC,Siacoin,57740361722.8284000000000000,NA,308147537.1211367113015089,3774353.0991316171354302,0.0053367787787742,0.6075902776737333,0.0054308393786205,http://explore.sia.tech/
celo,99,CELO,Celo,542396781.0000000000000000,1000000000.0000000000000000,307776497.6961781976960649,2032477.2268090899561238,0.5674379134934029,-0.9217206894691364,0.5757596330883728,https://explorer.celo.org/blocks
enjin-coin,100,ENJ,Enjin Coin,1655339050.5329292000000000,NA,305868906.2051417829500744,2423033.1381049203492791,0.1847771948028826,-2.9963483946628594,0.1886133986068027,https://etherscan.io/token/0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c
